GPU Times, time.time(), clock_realtime
0,1674351757.516208,1674351757.516275
696889482059,1674351757.566381,1674351757.566391
696889512907,1674351757.598957,1674351757.598966
696889543754,1674351757.633553,1674351757.633564
696889574602,1674351757.662190,1674351757.662203
696889605450,1674351757.692677,1674351757.692688
696889636298,1674351757.725735,1674351757.725746
696889667147,1674351757.754310,1674351757.754321
696889697994,1674351757.785073,1674351757.785083
696889728841,1674351757.816116,1674351757.816127
696889759689,1674351757.846860,1674351757.846870
696889790537,1674351757.879931,1674351757.879941
696889821385,1674351757.908608,1674351757.908618
696889852232,1674351757.939479,1674351757.939490
696889883080,1674351757.970398,1674351757.970408
696889913928,1674351758.001142,1674351758.001153
696889944776,1674351758.034464,1674351758.034474
696889975624,1674351758.062932,1674351758.062943
696890006472,1674351758.093874,1674351758.093884
696890037321,1674351758.124675,1674351758.124685
696890068167,1674351758.155210,1674351758.155219
696890099015,1674351758.188628,1674351758.188638
696890129862,1674351758.217165,1674351758.217175
696890160711,1674351758.247876,1674351758.247886
696890191558,1674351758.278871,1674351758.278881
696890222406,1674351758.309892,1674351758.309903
696890253254,1674351758.342995,1674351758.343005
696890284102,1674351758.371475,1674351758.371484
696890314950,1674351758.402267,1674351758.402277
696890345798,1674351758.432977,1674351758.432987
696890376647,1674351758.463726,1674351758.463736
696890407493,1674351758.497075,1674351758.497086
696890438341,1674351758.525530,1674351758.525541
696890469189,1674351758.556248,1674351758.556259
696890500036,1674351758.587045,1674351758.587055
696890530884,1674351758.617863,1674351758.617873
696890561732,1674351758.651199,1674351758.651208
696890592580,1674351758.679873,1674351758.679883
696890623428,1674351758.710559,1674351758.710569
696890654276,1674351758.741405,1674351758.741415
696890685123,1674351758.772253,1674351758.772264
696890715972,1674351758.805404,1674351758.805416
696890746819,1674351758.833972,1674351758.833982
696890777667,1674351758.864887,1674351758.864897
696890808515,1674351758.895481,1674351758.895491
696890839362,1674351758.926350,1674351758.926360
696890870210,1674351758.959502,1674351758.959513
696890901058,1674351758.988073,1674351758.988084
696890931906,1674351759.018896,1674351759.018907
696890962754,1674351759.050042,1674351759.050054
696890993602,1674351759.080675,1674351759.080684
696891024449,1674351759.113940,1674351759.113950
696891055298,1674351759.142516,1674351759.142526
696891086145,1674351759.173212,1674351759.173223
696891116993,1674351759.204281,1674351759.204291
696891147841,1674351759.235244,1674351759.235253
696891178689,1674351759.268277,1674351759.268287
696891209537,1674351759.296717,1674351759.296727
696891240384,1674351759.327524,1674351759.327534
696891271232,1674351759.358379,1674351759.358389
696891302079,1674351759.388963,1674351759.388974
696891332927,1674351759.426880,1674351759.426890
696891363775,1674351759.451305,1674351759.451316
696891394624,1674351759.481701,1674351759.481711
696891425471,1674351759.512742,1674351759.512754
696891456318,1674351759.543461,1674351759.543471
696891487166,1674351759.576835,1674351759.576846
696891518014,1674351759.605437,1674351759.605447
696891548862,1674351759.636180,1674351759.636190
696891579710,1674351759.666991,1674351759.667002
696891610558,1674351759.697757,1674351759.697767
696891641406,1674351759.730882,1674351759.730893
696891672253,1674351759.759619,1674351759.759629
696891703101,1674351759.790504,1674351759.790514
696891733949,1674351759.820995,1674351759.821006
696891764797,1674351759.851990,1674351759.852001
696891795645,1674351759.885241,1674351759.885252
696891826492,1674351759.913903,1674351759.913913
696891857340,1674351759.944662,1674351759.944673
696891888188,1674351759.975468,1674351759.975478
696891919036,1674351760.006239,1674351760.006249
696891949884,1674351760.039577,1674351760.039589
696891980732,1674351760.068097,1674351760.068108
696892011580,1674351760.098915,1674351760.098926
696892042427,1674351760.129808,1674351760.129818
696892073276,1674351760.160679,1674351760.160690
696892104123,1674351760.192786,1674351760.192795
696892134970,1674351760.221817,1674351760.221826
696892165818,1674351760.251922,1674351760.251932
696892196666,1674351760.284902,1674351760.284912
696892227514,1674351760.314831,1674351760.314841
696892258362,1674351760.348057,1674351760.348068
696892289210,1674351760.376408,1674351760.376418
696892320057,1674351760.407366,1674351760.407375
696892350905,1674351760.438359,1674351760.438370
696892381753,1674351760.469028,1674351760.469038
696892412602,1674351760.501430,1674351760.501438
696892443449,1674351760.530212,1674351760.530221
696892474296,1674351760.560246,1674351760.560256
696892505144,1674351760.592121,1674351760.592131
696892535992,1674351760.623491,1674351760.623502
696892566840,1674351760.656481,1674351760.656491
696892597688,1674351760.685001,1674351760.685011
696892628536,1674351760.715802,1674351760.715851
696892659384,1674351760.746530,1674351760.746540
696892690231,1674351760.777377,1674351760.777387
696892721079,1674351760.810625,1674351760.810635
696892751927,1674351760.839205,1674351760.839215
696892782775,1674351760.870040,1674351760.870049
696892813622,1674351760.900747,1674351760.900757
696892844470,1674351760.931596,1674351760.931607
696892875318,1674351760.964861,1674351760.964871
696892906166,1674351760.993520,1674351760.993531
696892937013,1674351761.024152,1674351761.024162
696892967862,1674351761.055098,1674351761.055109
696892998709,1674351761.085916,1674351761.085927
696893029557,1674351761.118964,1674351761.118974
696893060405,1674351761.147669,1674351761.147679
696893091254,1674351761.178532,1674351761.178542
696893122100,1674351761.209123,1674351761.209133
696893152949,1674351761.239969,1674351761.239980
696893183797,1674351761.277774,1674351761.277784
696893214644,1674351761.302028,1674351761.302038
696893245492,1674351761.332761,1674351761.332772
696893276340,1674351761.363642,1674351761.363652
696893307187,1674351761.394150,1674351761.394160
696893338035,1674351761.427597,1674351761.427607
696893368883,1674351761.456278,1674351761.456288
696893399731,1674351761.487051,1674351761.487062
696893430579,1674351761.517892,1674351761.517901
696893461427,1674351761.548721,1674351761.548732
696893492274,1674351761.581797,1674351761.581808
696893523122,1674351761.609647,1674351761.609656
696893553970,1674351761.639939,1674351761.639948
696893584818,1674351761.670790,1674351761.670800
696893615666,1674351761.702435,1674351761.702446
696893646514,1674351761.736319,1674351761.736330
696893677361,1674351761.765034,1674351761.765043
696893708209,1674351761.795527,1674351761.795537
696893739056,1674351761.826383,1674351761.826393
696893769906,1674351761.857157,1674351761.857167
696893800753,1674351761.890463,1674351761.890473
696893831600,1674351761.919070,1674351761.919080
696893862449,1674351761.949789,1674351761.949800
696893893296,1674351761.980760,1674351761.980771
696893924144,1674351762.011686,1674351762.011695
696893954991,1674351762.044674,1674351762.044684
696893985839,1674351762.073292,1674351762.073302
696894016687,1674351762.104175,1674351762.104185
696894047535,1674351762.134820,1674351762.134830
696894078383,1674351762.165557,1674351762.165567
696894109231,1674351762.199022,1674351762.199032
696894140078,1674351762.227308,1674351762.227318
696894170926,1674351762.258033,1674351762.258042
696894201774,1674351762.289008,1674351762.289017
696894232622,1674351762.319749,1674351762.319759
696894263470,1674351762.352995,1674351762.353004
696894294317,1674351762.381843,1674351762.381854
696894325166,1674351762.412455,1674351762.412465
696894356013,1674351762.443250,1674351762.443260
696894386861,1674351762.473943,1674351762.473953
696894417709,1674351762.507357,1674351762.507368
696894448557,1674351762.535917,1674351762.535927
696894479405,1674351762.566658,1674351762.566669
696894510252,1674351762.597526,1674351762.597537
696894541099,1674351762.628256,1674351762.628266
696894571948,1674351762.661699,1674351762.661709
696894602795,1674351762.690029,1674351762.690039
696894633644,1674351762.721096,1674351762.721106
696894664491,1674351762.752037,1674351762.752047
696894695339,1674351762.782585,1674351762.782595
696894726187,1674351762.815673,1674351762.815683
696894757035,1674351762.844064,1674351762.844074
696894787883,1674351762.874832,1674351762.874841
696894818730,1674351762.906001,1674351762.906011
696894849578,1674351762.936862,1674351762.936872
696894880426,1674351762.969961,1674351762.969972
696894911274,1674351762.998491,1674351762.998501
696894942121,1674351763.029359,1674351763.029369
696894972969,1674351763.060328,1674351763.060338
696895003817,1674351763.091135,1674351763.091146
696895034665,1674351763.128731,1674351763.128741
696895065513,1674351763.152884,1674351763.152894
696895096360,1674351763.183514,1674351763.183525
696895127209,1674351763.214286,1674351763.214296
696895158056,1674351763.245121,1674351763.245130
696895188904,1674351763.278322,1674351763.278332
696895219752,1674351763.306973,1674351763.306983
696895250599,1674351763.337491,1674351763.337501
696895281447,1674351763.368437,1674351763.368446
696895312295,1674351763.399495,1674351763.399505
696895343143,1674351763.432533,1674351763.432543
696895373991,1674351763.461203,1674351763.461213
696895404839,1674351763.492065,1674351763.492076
696895435687,1674351763.522701,1674351763.522711
696895466535,1674351763.553613,1674351763.553624
696895497382,1674351763.586617,1674351763.586627
696895528230,1674351763.615209,1674351763.615219
696895559077,1674351763.646095,1674351763.646106
696895589926,1674351763.677026,1674351763.677037
696895620773,1674351763.707734,1674351763.707744
696895651621,1674351763.740979,1674351763.740989
696895682469,1674351763.769526,1674351763.769537
696895713316,1674351763.800176,1674351763.800186
696895744164,1674351763.831243,1674351763.831253
696895775012,1674351763.862045,1674351763.862055
696895805861,1674351763.895159,1674351763.895170
696895836709,1674351763.923759,1674351763.923769
696895867556,1674351763.954657,1674351763.954668
696895898403,1674351763.985263,1674351763.985273
696895929251,1674351764.016226,1674351764.016237
696895960099,1674351764.049510,1674351764.049521
696895990947,1674351764.077925,1674351764.077935
696896021795,1674351764.108768,1674351764.108779
696896052643,1674351764.139786,1674351764.139796
696896083490,1674351764.170608,1674351764.170617
696896114338,1674351764.204020,1674351764.204028
696896145187,1674351764.232396,1674351764.232407
696896176035,1674351764.263111,1674351764.263120
696896206882,1674351764.293814,1674351764.293824
696896237730,1674351764.324854,1674351764.324864
696896268577,1674351764.357955,1674351764.357964
696896299425,1674351764.386435,1674351764.386445
696896330273,1674351764.417185,1674351764.417194
696896361120,1674351764.448113,1674351764.448123
696896391968,1674351764.479046,1674351764.479055
696896422816,1674351764.512577,1674351764.512587
696896453664,1674351764.540897,1674351764.540908
696896484513,1674351764.571721,1674351764.571730
696896515360,1674351764.602468,1674351764.602479
696896546207,1674351764.633083,1674351764.633093
696896577055,1674351764.666460,1674351764.666470
696896607904,1674351764.695232,1674351764.695242
696896638752,1674351764.725720,1674351764.725731
696896669599,1674351764.756570,1674351764.756581
696896700447,1674351764.787374,1674351764.787384
696896731294,1674351764.820602,1674351764.820613
696896762142,1674351764.849186,1674351764.849197
696896792990,1674351764.880262,1674351764.880272
696896823839,1674351764.910978,1674351764.910989
696896854687,1674351764.941775,1674351764.941786
696896885534,1674351764.979388,1674351764.979399
696896916381,1674351765.003520,1674351765.003531
696896947229,1674351765.034278,1674351765.034288
696896978077,1674351765.065265,1674351765.065276
696897008925,1674351765.095860,1674351765.095871
696897039772,1674351765.129089,1674351765.129100
696897070621,1674351765.157586,1674351765.157597
696897101468,1674351765.188456,1674351765.188466
696897132316,1674351765.219331,1674351765.219341
696897163165,1674351765.250352,1674351765.250363
696897194013,1674351765.283366,1674351765.283377
696897224859,1674351765.312074,1674351765.312085
696897255707,1674351765.342793,1674351765.342803
696897286555,1674351765.373616,1674351765.373627
696897317403,1674351765.404375,1674351765.404384
696897348250,1674351765.437735,1674351765.437745
696897379099,1674351765.466120,1674351765.466130
696897409946,1674351765.496915,1674351765.496925
696897440794,1674351765.527741,1674351765.527752
696897471642,1674351765.558562,1674351765.558572
696897502489,1674351765.591870,1674351765.591881
696897533338,1674351765.620629,1674351765.620639
696897564185,1674351765.651293,1674351765.651303
696897595033,1674351765.682225,1674351765.682235
696897625881,1674351765.712979,1674351765.712990
696897656728,1674351765.746157,1674351765.746168
696897687576,1674351765.774943,1674351765.774954
696897718424,1674351765.805652,1674351765.805662
696897749272,1674351765.836319,1674351765.836329
696897780120,1674351765.867132,1674351765.867141
696897810968,1674351765.900393,1674351765.900403
696897841816,1674351765.928879,1674351765.928888
696897872664,1674351765.959727,1674351765.959736
696897903511,1674351765.990478,1674351765.990489
696897934359,1674351766.021457,1674351766.021467
696897965206,1674351766.054697,1674351766.054706
696897996055,1674351766.083480,1674351766.083490
696898026902,1674351766.114004,1674351766.114015
696898057750,1674351766.144901,1674351766.144911
696898088598,1674351766.175664,1674351766.175674
696898119446,1674351766.208857,1674351766.208867
696898150294,1674351766.237475,1674351766.237485
696898181142,1674351766.268173,1674351766.268183
696898211990,1674351766.299035,1674351766.299045
696898242837,1674351766.329934,1674351766.329944
696898273685,1674351766.363185,1674351766.363195
696898304533,1674351766.391736,1674351766.391746
696898335380,1674351766.422554,1674351766.422565
696898366228,1674351766.453478,1674351766.453487
696898397076,1674351766.484078,1674351766.484088
696898427925,1674351766.517344,1674351766.517354
696898458772,1674351766.545863,1674351766.545874
696898489619,1674351766.576533,1674351766.576543
696898520467,1674351766.607425,1674351766.607436
696898551316,1674351766.638383,1674351766.638393
696898582163,1674351766.671506,1674351766.671516
696898613011,1674351766.700073,1674351766.700084
696898643859,1674351766.730940,1674351766.730951
696898674706,1674351766.761769,1674351766.761779
696898705554,1674351766.792656,1674351766.792666
696898736402,1674351766.830287,1674351766.830298
696898767250,1674351766.854611,1674351766.854622
696898798098,1674351766.885289,1674351766.885300
696898828945,1674351766.916017,1674351766.916028
696898859793,1674351766.946857,1674351766.946868
696898890642,1674351766.980098,1674351766.980108
696898921489,1674351767.008798,1674351767.008809
696898952336,1674351767.039277,1674351767.039288
696898983184,1674351767.070358,1674351767.070369
696899014032,1674351767.101006,1674351767.101016
696899044880,1674351767.134325,1674351767.134335
696899075728,1674351767.162768,1674351767.162778
696899106575,1674351767.193811,1674351767.193821
696899137424,1674351767.224209,1674351767.224221
696899168271,1674351767.255141,1674351767.255153
696899199119,1674351767.288333,1674351767.288343
696899229968,1674351767.316851,1674351767.316863
696899260815,1674351767.347658,1674351767.347669
696899291663,1674351767.378696,1674351767.378706
696899322511,1674351767.409376,1674351767.409386
696899353358,1674351767.442658,1674351767.442669
696899384206,1674351767.471212,1674351767.471223
696899415054,1674351767.501881,1674351767.501892
696899445902,1674351767.532722,1674351767.532732
696899476749,1674351767.563782,1674351767.563793
696899507597,1674351767.596682,1674351767.596692
696899538445,1674351767.625213,1674351767.625224
696899569293,1674351767.656263,1674351767.656275
696899600141,1674351767.687104,1674351767.687114
696899630989,1674351767.718008,1674351767.718018
696899661837,1674351767.751297,1674351767.751307
696899692684,1674351767.779616,1674351767.779626
696899723532,1674351767.810448,1674351767.810459
696899754379,1674351767.841440,1674351767.841450
696899785228,1674351767.872245,1674351767.872256
696899816075,1674351767.905401,1674351767.905411
696899846923,1674351767.934201,1674351767.934211
696899877771,1674351767.964764,1674351767.964775
696899908619,1674351767.995637,1674351767.995648
696899939467,1674351768.027731,1674351768.027742
696899970314,1674351768.058385,1674351768.058393
696900001162,1674351768.086956,1674351768.086965
696900032011,1674351768.121491,1674351768.121502
696900062858,1674351768.149658,1674351768.149668
696900093706,1674351768.180661,1674351768.180670
696900124553,1674351768.213743,1674351768.213753
696900155401,1674351768.242436,1674351768.242446
696900186249,1674351768.273224,1674351768.273234
696900217097,1674351768.304131,1674351768.304141
696900247946,1674351768.334631,1674351768.334641
696900278792,1674351768.367754,1674351768.367764
696900309640,1674351768.396577,1674351768.396587
696900340488,1674351768.427376,1674351768.427387
696900371336,1674351768.458106,1674351768.458116
696900402184,1674351768.489197,1674351768.489207
696900433032,1674351768.522208,1674351768.522219
696900463880,1674351768.551057,1674351768.551068
696900494727,1674351768.581937,1674351768.581947
696900525575,1674351768.612617,1674351768.612628
696900556423,1674351768.643437,1674351768.643447
696900587271,1674351768.681209,1674351768.681221
696900618119,1674351768.705270,1674351768.705280
696900648966,1674351768.736038,1674351768.736048
696900679814,1674351768.766975,1674351768.766985
